Database Key	Shape Family Key	imp_key	met_key	imp_displayName	met_displayName	imp_group	met_group	note	defaultOrder	imp_curr_W	met_curr_W	imp_curr_A	met_curr_A	imp_curr_d	met_curr_d	imp_curr_d_det	met_curr_d_det	imp_curr_Ht	met_curr_Ht	imp_curr_h	met_curr_h	imp_curr_OD	met_curr_OD	imp_curr_b_f	met_curr_b_f	imp_curr_b_fdet	met_curr_b_fdet	imp_curr_B	met_curr_B	imp_curr_b	met_curr_b	imp_curr_ID	met_curr_ID	imp_curr_t_w	met_curr_t_w	imp_curr_t_wdet	met_curr_t_wdet	imp_curr_t_wdet/2	met_curr_t_wdet/2	imp_curr_t_f	met_curr_t_f	imp_curr_t_fdet	met_curr_t_fdet	imp_curr_t	met_curr_t	imp_curr_t_nom	met_curr_t_nom	imp_curr_t_des	met_curr_t_des	imp_curr_k_des	met_curr_k_des	imp_curr_k_det	met_curr_k_det	imp_curr_k_1	met_curr_k_1	imp_curr_x	met_curr_x	imp_curr_y	met_curr_y	imp_curr_e_o	met_curr_e_o	imp_curr_x_p	met_curr_x_p	imp_curr_y_p	met_curr_y_p	imp_curr_b_f/2t_f	met_curr_b_f/2t_f	imp_curr_b/t	met_curr_b/t	imp_curr_b/t_des	met_curr_b/t_des	imp_curr_h/t_w	met_curr_h/t_w	imp_curr_h/t_des	met_curr_h/t_des	imp_curr_D/t	met_curr_D/t	imp_curr_I_x	met_curr_I_x	imp_curr_Z_x	met_curr_Z_x	imp_curr_S_x	met_curr_S_x	imp_curr_r_x	met_curr_r_x	imp_curr_I_y	met_curr_I_y	imp_curr_Z_y	met_curr_Z_y	imp_curr_S_y	met_curr_S_y	imp_curr_r_y	met_curr_r_y	imp_curr_I_z	met_curr_I_z	imp_curr_r_z	met_curr_r_z	imp_curr_S_z	met_curr_S_z	imp_curr_J	met_curr_J	imp_curr_C_w	met_curr_C_w	imp_curr_C	met_curr_C	imp_curr_W_no	met_curr_W_no	imp_curr_S_w1	met_curr_S_w1	imp_curr_S_w2	met_curr_S_w2	imp_curr_S_w3	met_curr_S_w3	imp_curr_Q_f	met_curr_Q_f	imp_curr_Q_w	met_curr_Q_w	imp_curr_r_o	met_curr_r_o	imp_curr_H	met_curr_H	imp_curr_tan(ALPHA)	met_curr_tanALPHA	imp_curr_Q_s	met_curr_Q_s	imp_curr_I_w	met_curr_I_w	imp_curr_z_A	met_curr_z_A	imp_curr_z_B	met_curr_z_B	imp_curr_z_C	met_curr_z_C	imp_curr_w_A	met_curr_w_A	imp_curr_w_B	met_curr_w_B	imp_curr_w_C	met_curr_w_C	imp_curr_S_wA	met_curr_S_wA	imp_curr_S_wB	met_curr_S_wB	imp_curr_S_wC	met_curr_S_wC	imp_curr_S_zA	met_curr_S_zA	imp_curr_S_zB	met_curr_S_zB	imp_curr_S_zC	met_curr_S_zC	imp_curr_r_ts	met_curr_r_ts	imp_curr_h_o	met_curr_h_o	imp_curr_P_A	met_curr_P_A	imp_curr_P_B	met_curr_P_B
AISC_LRFD_14	W	W40X278	W1000X415	W40X278	W1000X415	W40	W1000		21	278	415	82.3	53100	40.2	1020	40.125	1020							12.0	305	12	305							1.03	26.2	1	25.4	0.5	12.7	1.81	46.0	1.8125	46.0							2.99	75.9	3.0625	77.8	1.75	44.5											3.31	3.31					33.3	33.3					20500	8530000000	1190	19500000	1020	16700000	15.8	401	521	217000000	140	2290000	87.1	1430000	2.52	64.0							65.0	27100000	192000	51600000000000			115	74200	622	259000000					190	3110000	587	9620000																																			3.13	79.5	38.4	975	112	2840	124	3150
AISC_LRFD_14	W	W40X264	W1000X393	W40X264	W1000X393	W40	W1000		22	264	393	77.4	49900	40.0	1020	40	1020							11.9	302	11.875	302							0.960	24.4	0.9375	23.8	0.5	12.7	1.73	43.9	1.75	44.4							2.91	73.9	3	76.2	1.6875	42.9											3.45	3.45					35.6	35.6					19400	8070000000	1130	18500000	971	15900000	15.8	401	493	205000000	132	2160000	82.6	1350000	2.52	64.0							56.1	23400000	181000	48600000000000			114	73500	589	245000000					182	2980000	555	9090000																																			3.12	79.2	38.3	973	112	2840	124	3150
AISC_LRFD_14	W	W40X235	W1000X350	W40X235	W1000X350	W40	W1000		23	235	350	69.1	44600	39.7	1010	39.75	1010							11.9	302	11.875	302							0.830	21.1	0.8125	20.6	0.4375	11.1	1.58	40.1	1.5625	39.7							2.76	70.1	2.875	73.0	1.625	41.3											3.77	3.77					41.2	41.2					17400	7240000000	1010	16600000	875	14300000	15.9	404	444	185000000	118	1930000	74.6	1220000	2.54	64.5							41.3	17200000	161000	43200000000000			113	72900	530	221000000					166	2720000	495	8110000																																			3.11	79.0	38.1	968	111	2820	123	3120
AISC_LRFD_14	W	W40X211	W1000X314	W40X211	W1000X314	W40	W1000		24	211	314	62.1	40100	39.4	1000	39.375	1000							11.8	300	11.75	298							0.750	19.1	0.75	19.0	0.375	9.52	1.42	36.1	1.4375	36.5							2.60	66.0	2.6875	68.3	1.5625	39.7											4.17	4.17					45.6	45.6					15500	6450000000	906	14800000	786	12900000	15.8	401	390	162000000	105	1720000	66.1	1080000	2.51	63.8							30.4	12700000	141000	37900000000000			112	72300	468	195000000					148	2430000	442	7240000																																			3.07	78.0	38.0	965	110	2790	122	3100
AISC_LRFD_14	W	W40X183	W1000X272	W40X183	W1000X272	W40	W1000		25	183	272	53.3	34400	39.0	991	39	991							11.8	300	11.75	298							0.650	16.5	0.625	15.9	0.3125	7.94	1.20	30.5	1.1875	30.2							2.38	60.5	2.5	63.5	1.5625	39.7											4.92	4.92					52.6	52.6					13200	5490000000	774	12700000	675	11100000	15.7	399	331	138000000	88.3	1450000	56.0	918000	2.49	63.2							19.3	8030000	118000	31700000000000			112	72300	395	164000000					126	2060000	376	6160000																																			3.04	77.2	37.8	960	110	2790	122	3100
AISC_LRFD_14	W	W40X167	W1000X249	W40X167	W1000X249	W40	W1000		26	167	249	49.3	31800	38.6	980	38.625	981							11.8	300	11.75	298							0.650	16.5	0.625	15.9	0.3125	7.94	1.03	26.2	1	25.4							2.21	56.1	2.3125	58.7	1.5625	39.7											5.76	5.76					52.6	52.6					11600	4830000000	693	11400000	600	9830000	15.3	389	283	118000000	76.0	1250000	47.9	785000	2.40	61.0							14.0	5830000	99700	26800000000000			111	71600	336	140000000					107	1750000	336	5510000																																			2.98	75.7	37.6	955	109	2770	121	3070
AISC_LRFD_14	W	W40X149	W1000X222	W40X149	W1000X222	W40	W1000		27	149	222	43.8	28300	38.2	970	38.25	972							11.8	300	11.75	298							0.630	16.0	0.625	15.9	0.3125	7.94	0.830	21.1	0.8125	20.6							2.01	51.1	2.125	54.0	1.5	38.1											7.11	7.11					54.3	54.3					9800	4080000000	598	9800000	513	8410000	15.0	381	229	95300000.0	62.2	1020000	38.8	636000	2.29	58.2							9.36	3900000	80000	21500000000000			110	71000	270	112000000					86.7	1420000	288	4720000																																			2.89	73.4	37.4	950	108	2740	120	3050
AISC_LRFD_14	W	W36X652	W920X970	W36X652	W920X970	W36	W920		28	652	970	192	124000	41.1	1040	41	1040							17.6	447	17.625	448							1.97	50.0	2	50.8	1	25.4	3.54	89.9	3.5625	90.5							4.49	114	4.8125	122	2.1875	55.6											2.48	2.48					16.3	16.3					50600	21100000000	2910	47700000	2460	40300000	16.2	411	3230	1340000000	581	9520000	367	6010000	4.10	104							593	247000000	1130000	303000000000000			165	106000	2560	1070000000					518	8490000	1450	23800000																																			4.96	126	37.6	955	129	3280	147	3730
AISC_LRFD_14	W	W36X529	W920X787	W36X529	W920X787	W36	W920		29	529	787	156	101000	39.8	1010	39.75	1010							17.2	437	17.25	438							1.61	40.9	1.625	41.3	0.8125	20.6	2.91	73.9	2.9375	74.6							3.86	98.0	4.1875	106	2	50.8											2.96	2.96					19.9	19.9					39600	16500000000	2330	38200000	1990	32600000	16.0	406	2490	1040000000	454	7440000	289	4740000	4.00	102							327	136000000	846000	227000000000000			159	103000	1990	828000000					419	6870000	1160	19000000																																			4.80	122	36.9	937	127	3230	144	3660
AISC_LRFD_14	W	W36X487	W920X725	W36X487	W920X725	W36	W920		30	487	725	143	92300	39.3	998	39.375	1000							17.1	434	17.125	435							1.50	38.1	1.5	38.1	0.75	19.0	2.68	68.1	2.6875	68.3							3.63	92.2	4	102	1.875	47.6											3.19	3.19					21.4	21.4					36000	15000000000	2130	34900000	1830	30000000	15.8	401	2250	937000000	412	6750000	263	4310000	3.96	101							258	107000000	754000	202000000000000			157	101000	1800	749000000					383	6280000	1060	17400000																																			4.74	120	36.6	930	125	3180	142	3610
